Company Name,Title / Role,Linked In URL / Company careers page,Applicants,Experience,Job Description,Requirement,Heard From / Source,Discovery date,Application date,Application Status,Rejection Date,Contact 1 ,Contact 1 state,Contact 1 Comm,Contact 2 ,Contact 2 state,Contact 2 comm,SU Alum 1,SU Alum 2,Note1,Note2,Cover Letter,Sponsership
NBCU,"Lead Data Scientist, Peacock",https://www.linkedin.com/jobs/view/2006353558/?midToken=AQFExoyeq7-NyA&midSig=2Qj_uafkulG9I1&trk=eml-jobs_applicant_applied-similar_jobs-1-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-1-similar_job-null-3rwqxr%7Eknmggjmx%7Em-null-jobs%7Eview,11,5,"Lead development of analytical models using statistical, machine learning and data mining methodologies. Advise, help to resolve issues and handle non-standard cases. Define procedures for cleansing, discretization, imputation, selection, generalization etc. to create high quality features for the modeling process. Work with business stakeholders to define business requirements including KPI and acceptance criteria. Use big data, relational and non-relational data sources to access data at the appropriate level of granularity for the needs of specific analytical projects. Maintains up to date knowledge of the relevant data set structures and participate in defining necessary upgrades and modifications. Collaborate with software and data architects in building real-time and automated batch implementations of the data science solutions and integrating them into the streaming service architecture. Drive work on improving the codebase and machine learning lifecycle infrastructure.","• Advanced (Master or PhD) degree with specialization in Statistics, Computer Science, Data Science, Economics, Mathematics, Operations Research or another quantitative field or equivalent. • 5 years of combined experience in advanced analytics in industry or research. • Experience in leading small teams or/and being a lead data scientist on large commercial projects. • Deep knowledge of statistical methods and machine learning with special emphasis on the advanced algorithms like neural networks, SVM, random forests, bagging, gradient boosting machines, k-means++, deep learning or reinforcement learning. Expert level in 5+ classes of algorithms. • Experience implementing scalable, distributed, and highly available systems using Google Cloud. • Experience with data visualization tools and techniques. • Understanding of algorithmic complexity of model training and testing, particularly for real-time and near real-time models. • Proficient in at least one statistical (R, Python) and one programming (Julia, Java, Scala or similar) languages. • Strong skills in data processing using SQL. Desired Characteristics : • Experience with BigQuery or similar data service • Experience with data visualizations • Experience with reinforcement learning based systems. • Working experience with deep learning, particularly in the areas different form computer vision. • Experience with multi-billion record datasets and leading projects that span the disciplines of data science and data engineering • Knowledge of enterprise-level digital analytics platforms (e.g. Adobe Analytics, Google Analytics, etc.) • Experience building streaming data pipelines using Kafka, Spark or Flink • Experience with large-scale video assets • Team oriented and collaborative approach with a demonstrated aptitude and willingness to learn new methods and tools • Pride and ownership in your work and confident representation of your team to other parts of NBCUniversal",Linked In,2021-04-19,2021-04-24,Pending,,,,,,,,,,,,,
C3 AI,Data Scientist / Senior Data Scientist,https://www.linkedin.com/jobs/view/1983096778/?midToken=AQFExoyeq7-NyA&midSig=2Qj_uafkulG9I1&trk=eml-jobs_applicant_applied-similar_jobs-2-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-2-similar_job-null-3rwqxr%7Eknmggjmx%7Em-null-jobs%7Eview,200,,"Driving adoption of Deep Learning systems into next-generation of C3 AI products. Designing and deploying Machine Learning algorithms for industrial applications such as fraud detection and predictive maintenance. Collaborating with data and subject matter experts from C3 AI and its customer teams to seek, understand, validate, interpret, and correctly use new data elements.","MS or PhD in Computer Science, Electrical Engineering, Statistics, or equivalent fields. Applied Machine Learning experience (regression and classification, supervised, and unsupervised learning). Strong mathematical background (linear algebra, calculus, probability and statistics). Experience with scalable ML (MapReduce, streaming). Ability to drive a project and work both independently and in a team. Smart, motivated, can do attitude, and seeks to make a difference. Excellent verbal and written communication. Preferred Experience with JavaScript and prototyping languages such as Python and R. Experience with Java and Scala is a plus. Knowledge in electrical engineering and cyber-physical systems is a plus. A portfolio of projects (GitHub, papers, etc.) is a plus.",Linked In,2021-04-19,,,,,,,,,,,,,,,
Foursquare,Senior Data Scientist,https://www.linkedin.com/jobs/view/2009144829/?midToken=AQFExoyeq7-NyA&midSig=2Qj_uafkulG9I1&trk=eml-jobs_applicant_applied-similar_jobs-4-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-4-similar_job-null-3rwqxr%7Eknmggjmx%7Em-null-jobs%7Eview,200,5,Build supervised and unsupervised learning systems to extract visitation behavior from sensor data. Drive feature engineering and experimentation to improve performance of our various algorithms Collaborate with engineering teams on implementing and deploying large scale data processing pipelines Build internal tools for monitoring and investigation purposes Lead cross-team cooperation and mentor junior scientists,"5+ years of work or educational experience in data science, machine learning, and statistics. PhD degree or comparable research experience in a quantitative field Proven track record of delivering on products and/or practical research endeavors Experience with the Python science stack and/or Scala required Experience with Hadoop, Spark, or similar frameworks is a plus",Linked In,2021-04-19,,,,,,,,,,,,,,,
All Construction Group,Project Manager,https://www.linkedin.com/jobs/view/2508697131/?midToken=AQFExoyeq7-NyA&midSig=12GTbodWOkG9I1&trk=eml-jobs_applicant_applied-applied_jobs-11-applied_job&trkEmail=eml-jobs_applicant_applied-applied_jobs-11-applied_job-null-3rwqxr%7Eknmgg18n%7Eos-null-jobs%7Eview,40,,"Set project timeline Monitor project deliverables Write and Negotiate Subcontracts Select and manage subcontractors and suppliers Responsible to manage costs to meet budget Update relevant stakeholders or team members on the project progress Coach and support project team members with tasks you assign them Ensure work is done in compliance with all relevant building and safety codes Allocate and manage resources to ensure that they are available when they are needed throughout the construction projects Coordinate efforts across entire project between architects, designers, engineers, subcontractors and owners","Bachelor's Degree or equivalent experience Strong business acumen in project planning and management Strong verbal, written, and organizational skills Comfortable reading and understanding blueprints and drawings Proficient in MS Office Suite including MS Project and other scheduling software Demonstrated knowledge of construction, engineering and architecture principles Ability to budget, schedule, negotiate and control costs Familiarity with contract and subcontract documents, terms and conditions Conflict resolution and conflict management experience Able to multitask with a strong understanding of core manager duties",Linked In,2021-04-18,2021-04-18,Pending,,,,,,,,,,,,,
Prognos Health,Associate Data Scientist,https://www.linkedin.com/jobs/view/2410439758/?midToken=AQFExoyeq7-NyA&midSig=1pEop-NMJbG9I1&trk=eml-jobs_applicant_applied-applied_jobs-11-applied_job&trkEmail=eml-jobs_applicant_applied-applied_jobs-11-applied_job-null-3rwqxr%7Eknmdtwgh%7Eit-null-jobs%7Eview,200,1,"We have a lot of resources that you can leverage to drive/build a successful career in data science and machine learning. From our weekly theory sessions, where we discuss research papers and the maths behind learning algorithms, to our research tracks where clinical and data scientists alike collaborate for a better understanding of conditions, testing. And we have a sizable ego-free team of fellow data scientists at all levels that you can lean on for growth.","At least one year of professional experience in a data engineering/data analysis/data science context. Professional experience wrangling large, complicated datasets from different sources and formats Basic knowledge of sampling and inferential statistics (hypothesis testing, familiar probability distributions, confidence intervals, regression analysis, comparison of means, etc.) Experience with Python data analysis and plotting ecosystem (pandas, matplotlib and derivatives) Experience with SQL, regular expressions, string similarity and hashing algorithms Experience with data manipulation in Spark/Dask/Python. Accustomed to working with git and shared codebases.",Linked In,2021-04-18,2021-04-18,Pending,,Olalekan ABOU BAKAR,Cold Called / Messaged,Note/Connect,Kirubakar Ravikumaran,Cold Called / Messaged,Note/Connect,,1,,,,
AbleTo,Data Scientist,https://www.linkedin.com/jobs/view/2457652300/?midToken=AQFExoyeq7-NyA&midSig=1pEop-NMJbG9I1&trk=eml-jobs_applicant_applied-similar_jobs-1-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-1-similar_job-null-3rwqxr%7Eknmdtwgh%7Eit-null-jobs%7Eview,200,,"Design and implement model features using administrative claims data, engagement data, and other data sources. Build, maintain, monitor and improve predictive models, to identify good candidates for therapy and optimize the patient outreach process. Other Responsibilities Collaboration: You will work with teams across the organization to both design and build data-driven solutions. For example, with our Clinical team, you will provide guidance on the size and structure of our therapist network, ensuring that we have sufficient supply to meet demand; with our Product team, you will use data-driven insights to design new product features for our platform. High-Impact Focus: Our team receives a lot of requests for new analyses, processes, reports, etc. It is our job to prioritize these requests with our stakeholders and invest time in projects with the highest potential value-add for the organization. You will be actively involved in making these decisions.","High proficiency in Python / R, Linux and cloud platform. High proficiency in machine learning using xgboost, scikit-learn, Spark MLlib, etc. Highly skilled in data processing and analytics with SQL, Pandas (Python), PySpark, etc. Direct hands-on experience in handling large-scale datasets, thoughtful feature engineering, and building new predictive models and pipelines Good communication and presentation skills Experience with version control (git) and other production data science best practices Education And Experience Advanced degree (MSc or PhD) from a highly quantitative discipline, such as operations research, physics, computer science, electrical engineering, statistics, etc. Solid knowledge of statistics. Experience in applying statistical concepts in business / policy / research settings Team player. Experience collaborating on code with other developers Experience with healthcare data is a plus Experience with optimization using Gurobi or OR-Tools is a plus",Linked In,2021-04-19,,,,,,,,,,,,,,,
Via,Data Scientist,https://www.linkedin.com/jobs/view/2453064567/?midToken=AQFExoyeq7-NyA&midSig=1pEop-NMJbG9I1&trk=eml-jobs_applicant_applied-similar_jobs-2-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-2-similar_job-null-3rwqxr%7Eknmdtwgh%7Eit-null-jobs%7Eview,179,3,"Adeptly interpret and utilize mass quantities of data to generate innovative hypotheses & insights, and present these insights to the different stakeholders Use sophisticated statistical methods to solve problems, leveraging up-to-date academic research and tools Quantitatively test hypotheses about customer and driver behavior using large sets of proprietary data; leverage results to increase conversion and retention at every touch point Design and implement novel experiments to better understand current operation as well as expansion to new markets","A natural relationship builder that values camaraderie, comes with a sense of humor, and doesn’t take themselves too seriously Obtained a Master’s degree in statistics, math, computer science, operations research, or other highly quantitative fields with 2+ years of industry experience in a Data Scientist or equivalent role, or a PhD degree with 3+ years of highly quantitative graduate-level research experience. Mastery in some or all of the following: SQL, Python, R, and Tableau Obsessed with data; analytical and rigorous, with a thorough understanding of statistics and machine learning Extraordinary communicator with demonstrated writing and editing skills. Passionate about elegant visualization; you understand the importance of graphic techniques in communicating a quantitative idea effectively Deep understanding of business concepts within strategy, operations, and marketing. Experience with the transportation industry is a plus Prior role at a startup or similar high-growth environment",Linked In,2021-04-19,,,,,,,,,,,,,,,
Specialty Systems,Data Scientist,https://www.linkedin.com/jobs/view/2483662463/?midToken=AQFExoyeq7-NyA&midSig=1pEop-NMJbG9I1&trk=eml-jobs_applicant_applied-similar_jobs-3-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-3-similar_job-null-3rwqxr%7Eknmdtwgh%7Eit-null-jobs%7Eview,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
CVS Health,Data Scientist,https://www.linkedin.com/jobs/view/2485498910/?midToken=AQFExoyeq7-NyA&midSig=1pEop-NMJbG9I1&trk=eml-jobs_applicant_applied-similar_jobs-4-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-4-similar_job-null-3rwqxr%7Eknmdtwgh%7Eit-null-jobs%7Eview,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
Intelygenz,Data Scientist,https://www.linkedin.com/jobs/view/2504454963,,,,,Linked In,2021-04-18,2021-04-18,Pending,,,,,,,,,,,,,
Grid Dynamics,Data Scientist,https://www.linkedin.com/jobs/view/2467667765/?midToken=AQFExoyeq7-NyA&midSig=2nlJyOGOBaG9I1&trk=eml-jobs_applicant_applied-similar_jobs-0-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-0-similar_job-null-3rwqxr%7Eknmdszye%7Ekc-null-jobs%7Eview,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
Lark Health,Data Scientist,https://www.linkedin.com/jobs/view/2497058455/?midToken=AQFExoyeq7-NyA&midSig=2nlJyOGOBaG9I1&trk=eml-jobs_applicant_applied-similar_jobs-1-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-1-similar_job-null-3rwqxr%7Eknmdszye%7Ekc-null-jobs%7Eview,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
Capgemini Engineering,Data Scientist,https://www.linkedin.com/jobs/view/2465436760/?midToken=AQFExoyeq7-NyA&midSig=2nlJyOGOBaG9I1&trk=eml-jobs_applicant_applied-similar_jobs-3-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-3-similar_job-null-3rwqxr%7Eknmdszye%7Ekc-null-jobs%7Eview,,,,,,2021-04-19,,,,,,,,,,,,,,,
TEKsystems,Data Scientist,https://www.linkedin.com/jobs/view/2474654236/?midToken=AQFExoyeq7-NyA&midSig=2nlJyOGOBaG9I1&trk=eml-jobs_applicant_applied-similar_jobs-4-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-4-similar_job-null-3rwqxr%7Eknmdszye%7Ekc-null-jobs%7Eview,,,,,,2021-04-19,,,,,,,,,,,,,,,
Stem IT,Data Scientist,https://www.linkedin.com/jobs/view/2485162508/?midToken=AQFExoyeq7-NyA&midSig=2nlJyOGOBaG9I1&trk=eml-jobs_applicant_applied-applied_jobs-14-applied_job&trkEmail=eml-jobs_applicant_applied-applied_jobs-14-applied_job-null-3rwqxr%7Eknmdshib%7Ent-null-jobs%7Eview,,,,,Linked In,2021-04-17,2021-04-17,Pending,,,,,,,,,,,,,
Stem IT,Senior Machine Learning Engineer,https://www.linkedin.com/jobs/view/2485166112/?refId=Aq55g8RKY%2B46p6ZZCUG1Ag%3D%3D&trackingId=HUQRjSU9yclmVnfuAdgJAQ%3D%3D,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
Leidos,Data Scientist,https://www.linkedin.com/jobs/view/2487482854/?midToken=AQFExoyeq7-NyA&midSig=2nlJyOGOBaG9I1&trk=eml-jobs_applicant_applied-similar_jobs-0-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-0-similar_job-null-3rwqxr%7Eknmdshib%7Ent-null-jobs%7Eview,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
Morgan Stanley,Data Scientist - Metrics Developer,https://www.linkedin.com/jobs/view/2476297742/?midToken=AQFExoyeq7-NyA&midSig=2nlJyOGOBaG9I1&trk=eml-jobs_applicant_applied-similar_jobs-2-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-2-similar_job-null-3rwqxr%7Eknmdshib%7Ent-null-jobs%7Eview,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
PayPal,Data Scientist 1,https://www.linkedin.com/jobs/view/2438827386/?midToken=AQFExoyeq7-NyA&midSig=2nlJyOGOBaG9I1&trk=eml-jobs_applicant_applied-similar_jobs-3-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-3-similar_job-null-3rwqxr%7Eknmdshib%7Ent-null-jobs%7Eview,,,,,,2021-04-19,,,,,,,,,,,,,,,
Softrams,Senior Data Scientist,https://www.linkedin.com/jobs/view/2350389139/?midToken=AQFExoyeq7-NyA&midSig=2nlJyOGOBaG9I1&trk=eml-jobs_applicant_applied-similar_jobs-4-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-4-similar_job-null-3rwqxr%7Eknmdshib%7Ent-null-jobs%7Eview,,,,,,2021-04-19,,,,,,,,,,,,,,,
Jellyfish,Data Scientist ,,,,,,Linked In,2021-04-17,2021-04-18,Pending,,Lawrence E. P.,Cold Called / Messaged,Note/Connect,Dale Park,Cold Called / Messaged,Note/Connect,,,,,,
Etsy,"Staff Data Scientist, Product Analytics",https://www.linkedin.com/jobs/view/2505135667/?midToken=AQFExoyeq7-NyA&midSig=1Sk5NbAw0XD9I1&trk=eml-email_jobs_application_rejected_01-jymbii-17-application%7Erejection%7Eemail&trkEmail=eml-email_jobs_application_rejected_01-jymbii-17-application%7Erejection%7Eemail-null-3rwqxr%7Eknjbgihp%7E9o-null-jobs%7Eview,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
American Express,Data Analyst,https://www.linkedin.com/jobs/view/2505902494/,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
Primary Services,Machine Learning Engineer - Python,https://www.linkedin.com/jobs/view/2505138953/?midToken=AQFExoyeq7-NyA&midSig=1Sk5NbAw0XD9I1&trk=eml-email_jobs_application_rejected_01-jymbii-19-application%7Erejection%7Eemail&trkEmail=eml-email_jobs_application_rejected_01-jymbii-19-application%7Erejection%7Eemail-null-3rwqxr%7Eknjbgihp%7E9o-null-jobs%7Eview,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
Insight Global,Remote Tableau and Alteryx Analyst,https://www.linkedin.com/jobs/view/2483636842/?midToken=AQFExoyeq7-NyA&midSig=1Sk5NbAw0XD9I1&trk=eml-email_jobs_application_rejected_01-jymbii-20-application%7Erejection%7Eemail&trkEmail=eml-email_jobs_application_rejected_01-jymbii-20-application%7Erejection%7Eemail-null-3rwqxr%7Eknjbgihp%7E9o-null-jobs%7Eview,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
Tatari,Data Science Analyst,https://www.linkedin.com/jobs/view/2481163112/?midToken=AQFExoyeq7-NyA&midSig=3MTs2rk4VoyVI1&trk=eml-jobs_applicant_applied-applied_jobs-11-applied_job&trkEmail=eml-jobs_applicant_applied-applied_jobs-11-applied_job-null-3rwqxr%7Eknf13t7o%7Epc-null-jobs%7Eview,,,,,Linked In,2021-04-12,2021-04-12,Rejected,2021-04-15,,,,,,,,,,,,
Posh Peanut,Data Scientist,https://www.linkedin.com/jobs/view/2505124802/?midToken=AQFExoyeq7-NyA&midSig=1Sk5NbAw0XD9I1&trk=eml-email_jobs_application_rejected_01-jymbii-20-application%7Erejection%7Eemail&trkEmail=eml-email_jobs_application_rejected_01-jymbii-20-application%7Erejection%7Eemail-null-3rwqxr%7Eknjbg0ni%7Euf-null-jobs%7Eview,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
Amobee,Fellow Scientist,https://www.linkedin.com/jobs/view/2439313521/?midToken=AQFExoyeq7-NyA&midSig=2nlJyOGOBaG9I1&trk=eml-jobs_applicant_applied-similar_jobs-1-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-1-similar_job-null-3rwqxr%7Eknmds83w%7E52-null-jobs%7Eview,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
Under Armour,"Lead, Data Scientist (REMOTE)",https://www.linkedin.com/jobs/view/2505654995/?midToken=AQFExoyeq7-NyA&midSig=2nlJyOGOBaG9I1&trk=eml-jobs_applicant_applied-similar_jobs-3-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-3-similar_job-null-3rwqxr%7Eknmds83w%7E52-null-jobs%7Eview,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
MRM,"Associate Director, Data Analytics",https://www.linkedin.com/jobs/view/2469430093/?midToken=AQFExoyeq7-NyA&midSig=2nlJyOGOBaG9I1&trk=eml-jobs_applicant_applied-similar_jobs-4-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-4-similar_job-null-3rwqxr%7Eknmds83w%7E52-null-jobs%7Eview,,,,,Linked In,2021-04-19,,,,,,,,,,,,,,,
Cronus Human Capital,Data Scientist Temporary,https://www.linkedin.com/jobs/view/2485572884/?midToken=AQFExoyeq7-NyA&midSig=27T8cLBJd8G9I1&trk=eml-jobs_applicant_applied-applied_jobs-11-applied_job&trkEmail=eml-jobs_applicant_applied-applied_jobs-11-applied_job-null-3rwqxr%7Eknmdqf9y%7Eok-null-jobs%7Eview,,,,,Linked In,2021-04-18,2021-04-18,Pending,,,,,,,,,,,,,
Gallagher ,"Data Scientist, Junior",https://www.linkedin.com/jobs/view/2500744852/?refId=878783c9-ca03-4b84-98c5-b6a3a512d1e2&midToken=AQFExoyeq7-NyA&midSig=2gNsTGxh5LGVI1&trk=eml-email_jobs_job_application_viewed_01-saved_jobs-3-saved_job&trkEmail=eml-email_jobs_job_application_viewed_01-saved_jobs-3-saved_job-null-3rwqxr%7Eknn6jxwb%7E9o-null-jobs%7Eview,,,"Developing predictive models, leveraging internal and external data, to solve high impact business problems with innovate solutions.
Building models in Azure, and working with the team to ensure any business-accepted models can be moved into production and into users’ hands.
Coordinating with business analysts and data engineers to gather data for analysis
Leading testing of data quality and completeness for modeling attributes.
Produces written reports and recommendations for internal consumption, including problem statement, methods, interpretation of findings, and business implications.
Provides ad-hoc support to internal clients for data mining and other analytics.
Degree in quantitative field, such as data science, statistics, mathematics, computer science, finance, or economics.
2 years of experience using statistical modeling and/or machine learning techniques to build models that influence company decision-making. Higher educational attainment and/or background in a large insurance broker or carrier may suffice.
Proficient with building data pipelines from larger data sets.
Excellent problem solving skills as well as critical thinking and conceptual thinking abilities.
Intermediate to advanced proficiency in SQL and R or Python.
Experience with cloud tools and structures, preferably Azure.
Preferred:
Experience with distributed data and computing tools: MapReduce, Hadoop, Hive, Spark, etc.
Continued interest in further building mathematical and programming skills.
A background in insurance, insurance brokerage, or financial services desirable.
Pursuit of a Master’s or PhD in quantitative field, such as data science, statistics, mathematics, computer science, finance, or economics.",,Linked In,2021-04-19,2021-04-24,Pending,,,,,,,,,,,,,
Bloomberg LP,Data Scientist,https://www.linkedin.com/jobs/view/2164774362/?refId=rK03fgHJyrcdX4qkWdYsJw%3D%3D&midToken=AQFExoyeq7-NyA&midSig=2gNsTGxh5LGVI1&trk=eml-email_jobs_job_application_viewed_01-similar_jobs-5-similar_job&trkEmail=eml-email_jobs_job_application_viewed_01-similar_jobs-5-similar_job-null-3rwqxr%7Eknn6jxwb%7E9o-null-jobs%7Eview,,2,"Rise to the challenge: research new data sets and use your technical subject matter expertise to recommend new product offerings and generate premium content
Drive operations: draw on your scripting and programming skills to report on project progress, -create data visualizations, and propose new methods of analysis
Implement innovation: analyze metadata and current processes to find opportunities for improvement
Influence priorities: Review market conventions and data relationships to set rules for data validation
Achieve your purpose: optimize processes, lead projects, and improve the quality of the products sought by internal and external end-users","A bachelor's degree, preferably with combined studies in Information Systems and Finance, or related business and STEM fields
2+ years of programming and scripting experience in a Python production environment
Consistent track record of using technology to innovative data products and processes
Proficiency using data and statistical modeling and machine learning methods to solve real world problems
Legal authorization to work full-time in the United States and will not require visa sponsorship now or in the future",Linked In,2021-04-19,2021-04-24,Pending,,,,,,,,,,,,,
EvolveAI,Data Scientist - Hedge Fund,https://www.linkedin.com/jobs/view/2464246464/?midToken=AQFExoyeq7-NyA&midSig=27T8cLBJd8G9I1&trk=eml-jobs_applicant_applied-applied_jobs-15-applied_job&trkEmail=eml-jobs_applicant_applied-applied_jobs-15-applied_job-null-3rwqxr%7Eknmdq5r8%7Eqf-null-jobs%7Eview,,,,,Linked In,2021-04-18,2021-04-18,Pending,,,,,,,,,,,,,
Searchability,Senior Data Scientist for Media,https://www.linkedin.com/jobs/view/2506851410/?midToken=AQFExoyeq7-NyA&midSig=27T8cLBJd8G9I1&trk=eml-jobs_applicant_applied-similar_jobs-3-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-3-similar_job-null-3rwqxr%7Eknmdq5r8%7Eqf-null-jobs%7Eview,11,3,"you will be paired with our wonderful creatives, researchers, and strategists to create beautiful end-to-end solutions individually tailored to the client’s business needs. In this role, you will be the lead in the Data Science aspect of our media campaigns. You will be primarily client-facing so will really be owning the relationship with them with emphasis on communicating with executive stakeholders. We are looking for someone who can not only bring their exceptional technical skills to the table, but also someone who is going to contribute ideas, and be a driving force in our team long term!","
A Masters or PhD from a well-regarded College or University
3+ years of hand-on experience doing quantitative analysis, modelling, optimization and statistics.
Experience with Python (or similar language), and SQL.
Great Experience communicating with senior stakeholders and managing client relationships.
A desire to learn and be flexible in approach to each challenge you face.",Linked In,2021-04-19,2021-04-24,Pending,,,,,,,,,,,,,
Energetics,Transportation Data Analyst,https://www.linkedin.com/jobs/view/2511909448,65,5,"Analyzing electric vehicle operational and charging session data Creating data frameworks for automated data transfer Conducting quality control on received data sets Anonymizing data by removing personally identifiable information (PII) Characterizing data by removing proprietary information Adding cleansed data sets into the database for post processing Running utilization and other reports based on various attributes Creating visually interesting tabular and graphical summaries Analyzing fleet vehicle stock and operational data to assess suitability and performance of alternative fuels and technologies compared to conventional baseline technologies Manage news scraper to collect information on advanced technology and alternative fuel market trends Tracking utility transportation electrification activities Contributing to technical studies, reports, and summaries related to transportation technology trends","Bachelor’s degree in an engineering, data science or a technical field from an accredited university Data analysis software and programming experience (e.g., Microsoft Excel, Python, Geographical Information System [GIS], Microsoft Power BI, Tableau) Excellent communication skills (verbal, interpersonal, and written) Interest in energy efficiency and clean energy with specific emphasis on transportation technologies such as: alternative fuels, vehicle electrification, and connected and autonomous vehicles Excellent organization and time management skills Two (2) or more years of professional experience Proficient in Microsoft Office, with advanced Excel skills preferable Successful when working on self-managed tasks Ability to work within a diverse team Comfortable multitasking on time-sensitive tasks without diminished quality of work PREFERRED REQUIREMENTS Bachelor’s degree in engineering from an accredited university Master’s degree in data science or equivalent Five (5) or more years of professional experience Electric vehicle and charging station data collection and analysis Database setup and management Advanced data analytics and visualization (e.g., Python, R, Matlab) or GIS program use and results analysis Alternative fuels and transportation electrification familiarity Transportation systems modeling",Linked In,2021-04-22,2021-04-22,Pending,,Haseeb Ahmady,Cold Called / Messaged,InMail,Ridah Sabouni,Cold Called / Messaged,Note/Connect,,,,,,
TEKsystems,Data Analyst,https://www.linkedin.com/jobs/view/2492626364/?refId=c49brlKjYLv%2FnUgwujigQQ%3D%3D&trackingId=MLBRT4O4p05DDk4nyvLlSg%3D%3D&trk=d_flagship3_company,,3,"• Drive the client's data strategy and align it with a continuously changing business landscape • Work with partner organizations to develop and manage metrics for Enterprise Connectivity. • Collaborate with data analytics stakeholders to streamline the data acquisition, processing, and presentation process. • Perform data mapping, data lineage activities and document information flows • Provide analyses of connected vehicle data to support decisions on new product developments and production vehicle improvements • Perform descriptive/exploratory/trend data analysis to derive KPI insights using tools like Hive, Apache Pig, Hadoop, HDFS, MapReduce, Spark, PySpark, SQL and Alteryx. • Collaborate with internal partners to lead special study requests for new vehicle features or function. • Use connected data trends and special studies to understand customer and vehicle behavior. • Provide visibility to data quality/vehicle/feature issues and work with the business owners to fix the issues • Implement an enterprise data governance model and actively promote the concept of data - protection, sharing, reuse, quality and standards",,Linked In,2021-04-22,2021-04-22,Pending,,,,,,,,,,,,,
